iter	Passed	Remaining
0	102	102718
1	141	70424
2	175	58264
3	189	47150
4	234	46697
5	276	45752
6	316	44965
7	358	44481
8	400	44144
9	411	40765
10	447	40268
11	486	40018
12	549	41747
13	591	41688
14	630	41391
15	640	39373
16	680	39320
17	716	39084
18	750	38766
19	790	38739
20	828	38616
21	869	38660
22	910	38696
23	950	38663
24	982	38327
25	1023	38338
26	1064	38346
27	1106	38404
28	1140	38193
29	1181	38192
30	1226	38327
31	1267	38337
32	1304	38214
33	1344	38213
34	1389	38315
35	1409	37738
36	1448	37700
37	1497	37899
38	1563	38518
39	1582	37982
40	1617	37831
41	1656	37790
42	1698	37795
43	1745	37930
44	1795	38102
45	1837	38115
46	1900	38527
47	1943	38540
48	1976	38354
49	2024	38472
50	2063	38398
51	2100	38291
52	2136	38183
53	2186	38305
54	2233	38374
55	2276	38382
56	2318	38355
57	2359	38323
58	2400	38290
59	2446	38326
60	2484	38238
61	2529	38274
62	2571	38246
63	2613	38227
64	2654	38182
65	2698	38189
66	2715	37808
67	2757	37793
68	2798	37752
69	2841	37756
70	2888	37797
71	2929	37761
72	2972	37750
73	3019	37780
74	3060	37740
75	3074	37382
76	3114	37333
77	3156	37316
78	3202	37337
79	3238	37241
80	3256	36943
81	3322	37193
82	3365	37178
83	3411	37201
84	3453	37179
85	3490	37095
86	3529	37034
87	3570	37006
88	3611	36968
89	3651	36924
90	3692	36880
91	3734	36853
92	3776	36828
93	3817	36797
94	3860	36774
95	3899	36717
96	3940	36685
97	3975	36594
98	4021	36596
99	4049	36449
100	4091	36420
101	4141	36458
102	4181	36418
103	4225	36403
104	4265	36355
105	4307	36329
106	4347	36287
107	4391	36267
108	4436	36264
109	4472	36187
110	4512	36138
111	4553	36104
112	4596	36081
113	4640	36062
114	4664	35899
115	4702	35833
116	4742	35794
117	4788	35789
118	4810	35614
119	4852	35581
120	4886	35499
121	4910	35336
122	4950	35300
123	4989	35250
124	5027	35189
125	5071	35177
126	5114	35159
127	5148	35073
128	5187	35026
129	5230	35007
130	5282	35040
131	5329	35044
132	5376	35045
133	5421	35036
134	5463	35003
135	5506	34979
136	5547	34945
137	5589	34915
138	5630	34874
139	5669	34827
140	5707	34773
141	5751	34749
142	5788	34689
143	5830	34657
144	5872	34626
145	5913	34588
146	5954	34553
147	5998	34530
148	6046	34536
149	6088	34500
150	6122	34424
151	6159	34364
152	6200	34325
153	6241	34286
154	6285	34263
155	6327	34235
156	6369	34200
157	6415	34189
158	6459	34167
159	6501	34134
160	6539	34078
161	6576	34019
162	6617	33980
163	6655	33924
164	6695	33884
165	6733	33831
166	6769	33767
167	6811	33734
168	6853	33697
169	6887	33628
170	6929	33594
171	6972	33563
172	7010	33511
173	7051	33476
174	7088	33417
175	7126	33362
176	7163	33308
177	7204	33269
178	7243	33222
179	7285	33189
180	7319	33120
181	7363	33093
182	7402	33047
183	7442	33005
184	7484	32970
185	7527	32943
186	7567	32900
187	7606	32852
188	7651	32834
189	7695	32807
190	7734	32760
191	7775	32723
192	7816	32682
193	7853	32630
194	7895	32592
195	7931	32534
196	7967	32478
197	8005	32427
198	8045	32384
199	8083	32333
200	8128	32310
201	8165	32256
202	8204	32210
203	8239	32150
204	8279	32107
205	8312	32039
206	8353	32001
207	8390	31948
208	8430	31905
209	8468	31858
210	8511	31826
211	8559	31813
212	8605	31794
213	8643	31746
214	8687	31717
215	8729	31683
216	8771	31649
217	8813	31616
218	8858	31591
219	8900	31556
220	8943	31524
221	8986	31493
222	9020	31429
223	9060	31389
224	9103	31356
225	9142	31310
226	9185	31278
227	9227	31243
228	9270	31211
229	9317	31192
230	9356	31148
231	9402	31124
232	9449	31107
233	9496	31085
234	9542	31064
235	9589	31043
236	9625	30987
237	9665	30947
238	9711	30922
239	9756	30896
240	9798	30860
241	9835	30807
242	9877	30769
243	9913	30716
244	9955	30678
245	10000	30652
246	10038	30602
247	10082	30574
248	10124	30535
249	10164	30493
250	10207	30458
251	10248	30420
252	10287	30374
253	10332	30345
254	10370	30299
255	10414	30268
256	10452	30217
257	10491	30172
258	10535	30141
259	10571	30087
260	10615	30057
261	10660	30027
262	10704	29996
263	10747	29963
264	10779	29898
265	10821	29861
266	10863	29823
267	10904	29784
268	10948	29751
269	10991	29718
270	11025	29658
271	11066	29620
272	11110	29587
273	11152	29550
274	11193	29511
275	11238	29480
276	11281	29447
277	11322	29405
278	11367	29375
279	11412	29346
280	11452	29304
281	11492	29261
282	11530	29212
283	11575	29182
284	11617	29146
285	11656	29101
286	11696	29057
287	11744	29034
288	11789	29004
289	11836	28978
290	11880	28944
291	11919	28900
292	11961	28863
293	12004	28826
294	12049	28795
295	12088	28750
296	12120	28688
297	12158	28642
298	12202	28607
299	12244	28570
300	12288	28537
301	12332	28504
302	12378	28473
303	12423	28444
304	12462	28398
305	12505	28361
306	12539	28306
307	12584	28275
308	12631	28248
309	12672	28206
310	12711	28162
311	12752	28120
312	12795	28084
313	12839	28050
314	12879	28008
315	12919	27965
316	12960	27924
317	13003	27888
318	13046	27850
319	13090	27818
320	13134	27782
321	13172	27735
322	13210	27689
323	13250	27646
324	13291	27605
325	13334	27567
326	13371	27519
327	13406	27467
328	13437	27405
329	13478	27366
330	13522	27330
331	13562	27289
332	13605	27251
333	13642	27202
334	13691	27177
335	13733	27139
336	13775	27102
337	13817	27063
338	13856	27017
339	13919	27020
340	13961	26980
341	14002	26940
342	14044	26901
343	14086	26863
344	14129	26826
345	14175	26794
346	14223	26765
347	14269	26734
348	14315	26702
349	14361	26671
350	14401	26628
351	14440	26583
352	14486	26550
353	14522	26502
354	14565	26463
355	14604	26419
356	14647	26381
357	14687	26338
358	14725	26291
359	14762	26244
360	14804	26204
361	14843	26159
362	14882	26116
363	14926	26080
364	14965	26035
365	15012	26005
366	15056	25969
367	15101	25934
368	15148	25903
369	15191	25866
370	15232	25825
371	15276	25789
372	15317	25747
373	15361	25712
374	15395	25659
375	15433	25613
376	15479	25580
377	15518	25536
378	15563	25500
379	15604	25460
380	15644	25417
381	15686	25377
382	15727	25335
383	15768	25294
384	15808	25252
385	15849	25210
386	15889	25168
387	15937	25138
388	15985	25108
389	16029	25071
390	16074	25036
391	16114	24993
392	16159	24959
393	16201	24919
394	16241	24876
395	16286	24841
396	16331	24805
397	16372	24765
398	16413	24723
399	16449	24674
400	16487	24627
401	16532	24593
402	16577	24557
403	16619	24517
404	16664	24482
405	16706	24442
406	16746	24400
407	16785	24355
408	16828	24317
409	16870	24277
410	16914	24239
411	16957	24201
412	16999	24161
413	17035	24113
414	17075	24070
415	17120	24034
416	17161	23992
417	17194	23940
418	17237	23902
419	17273	23854
420	17317	23816
421	17354	23769
422	17397	23731
423	17441	23693
424	17479	23649
425	17525	23614
426	17570	23578
427	17610	23535
428	17655	23499
429	17697	23459
430	17740	23420
431	17779	23376
432	17818	23333
433	17855	23285
434	17896	23245
435	17941	23208
436	17987	23173
437	18033	23138
438	18073	23096
439	18114	23054
440	18150	23006
441	18190	22964
442	18228	22919
443	18265	22873
444	18308	22834
445	18352	22796
446	18390	22751
447	18428	22707
448	18467	22662
449	18505	22618
450	18543	22573
451	18580	22526
452	18622	22487
453	18658	22439
454	18697	22396
455	18734	22349
456	18775	22308
457	18817	22268
458	18858	22227
459	18897	22183
460	18940	22145
461	18983	22106
462	19025	22066
463	19069	22028
464	19112	21989
465	19152	21947
466	19196	21909
467	19239	21870
468	19282	21831
469	19320	21787
470	19358	21742
471	19398	21700
472	19433	21652
473	19473	21610
474	19507	21561
475	19544	21515
476	19581	21469
477	19623	21429
478	19665	21390
479	19706	21348
480	19746	21307
481	19784	21262
482	19823	21218
483	19862	21176
484	19905	21137
485	19950	21100
486	19994	21062
487	20036	21021
488	20077	20981
489	20118	20939
490	20160	20899
491	20206	20863
492	20244	20819
493	20281	20773
494	20325	20736
495	20367	20695
496	20407	20653
497	20446	20610
498	20487	20569
499	20527	20527
500	20565	20483
501	20605	20440
502	20647	20401
503	20689	20361
504	20732	20322
505	20771	20279
506	20809	20234
507	20853	20196
508	20895	20156
509	20934	20113
510	20978	20075
511	21019	20034
512	21056	19989
513	21098	19948
514	21142	19910
515	21184	19870
516	21222	19826
517	21263	19786
518	21304	19744
519	21340	19698
520	21385	19661
521	21425	19619
522	21469	19581
523	21514	19543
524	21555	19502
525	21593	19458
526	21635	19418
527	21675	19376
528	21715	19334
529	21759	19295
530	21801	19255
531	21842	19214
532	21883	19173
533	21925	19133
534	21964	19090
535	22003	19048
536	22039	19002
537	22079	18960
538	22119	18918
539	22160	18877
540	22200	18835
541	22242	18795
542	22282	18753
543	22317	18707
544	22359	18667
545	22404	18629
546	22446	18589
547	22485	18546
548	22529	18507
549	22567	18464
550	22608	18422
551	22651	18383
552	22689	18340
553	22728	18297
554	22772	18258
555	22810	18215
556	22843	18167
557	22887	18129
558	22927	18087
559	22965	18044
560	23001	17999
561	23038	17955
562	23079	17914
563	23119	17872
564	23156	17828
565	23198	17788
566	23244	17751
567	23284	17709
568	23324	17667
569	23366	17627
570	23406	17585
571	23447	17544
572	23486	17502
573	23522	17457
574	23563	17416
575	23604	17375
576	23640	17331
577	23673	17283
578	23710	17240
579	23749	17198
580	23787	17154
581	23824	17110
582	23856	17063
583	23899	17024
584	23941	16983
585	23984	16944
586	24027	16905
587	24063	16860
588	24103	16819
589	24138	16774
590	24173	16728
591	24208	16684
592	24252	16645
593	24299	16608
594	24344	16570
595	24384	16529
596	24428	16490
597	24465	16446
598	24506	16405
599	24549	16366
600	24592	16327
601	24637	16288
602	24677	16247
603	24721	16208
604	24766	16169
605	24813	16132
606	24850	16089
607	24893	16049
608	24933	16007
609	24973	15966
610	25010	15922
611	25052	15883
612	25099	15846
613	25142	15806
614	25180	15763
615	25217	15719
616	25263	15682
617	25300	15638
618	25342	15598
619	25382	15557
620	25426	15517
621	25462	15474
622	25504	15433
623	25546	15393
624	25586	15352
625	25631	15313
626	25675	15274
627	25713	15231
628	25754	15190
629	25790	15146
630	25828	15104
631	25871	15064
632	25912	15023
633	25953	14982
634	25991	14940
635	26031	14898
636	26072	14857
637	26107	14813
638	26145	14770
639	26188	14731
640	26227	14689
641	26272	14650
642	26310	14608
643	26354	14568
644	26399	14530
645	26444	14491
646	26479	14446
647	26514	14402
648	26557	14363
649	26601	14324
650	26642	14283
651	26680	14240
652	26724	14201
653	26765	14160
654	26806	14119
655	26846	14077
656	26887	14037
657	26927	13995
658	26974	13957
659	27015	13917
660	27054	13875
661	27096	13834
662	27139	13794
663	27180	13753
664	27220	13712
665	27261	13671
666	27306	13632
667	27346	13591
668	27382	13547
669	27427	13508
670	27469	13468
671	27522	13433
672	27573	13397
673	27638	13368
674	27680	13327
675	27719	13285
676	27759	13244
677	27797	13201
678	27835	13159
679	27877	13118
680	27923	13080
681	27970	13042
682	28015	13002
683	28056	12961
684	28099	12921
685	28136	12878
686	28177	12837
687	28217	12796
688	28255	12753
689	28293	12711
690	28333	12670
691	28370	12627
692	28403	12582
693	28438	12539
694	28487	12501
695	28526	12459
696	28564	12417
697	28601	12374
698	28639	12332
699	28680	12291
700	28715	12248
701	28753	12206
702	28799	12166
703	28840	12126
704	28883	12086
705	28925	12045
706	28968	12005
707	29015	11966
708	29057	11926
709	29096	11884
710	29139	11844
711	29180	11803
712	29219	11761
713	29258	11719
714	29300	11679
715	29343	11639
716	29387	11599
717	29425	11557
718	29469	11517
719	29504	11473
720	29547	11433
721	29587	11392
722	29626	11350
723	29663	11308
724	29703	11267
725	29744	11225
726	29782	11183
727	29825	11143
728	29865	11102
729	29905	11061
730	29946	11019
731	29988	10979
732	30035	10940
733	30073	10898
734	30114	10857
735	30154	10816
736	30192	10774
737	30233	10733
738	30274	10692
739	30312	10650
740	30349	10607
741	30393	10568
742	30430	10525
743	30470	10484
744	30507	10442
745	30549	10401
746	30594	10361
747	30632	10319
748	30675	10279
749	30717	10239
750	30762	10199
751	30802	10158
752	30846	10118
753	30887	10077
754	30931	10037
755	30975	9997
756	31014	9955
757	31049	9913
758	31093	9873
759	31138	9833
760	31177	9791
761	31216	9750
762	31258	9709
763	31296	9667
764	31338	9626
765	31380	9586
766	31426	9546
767	31467	9505
768	31512	9466
769	31550	9424
770	31591	9383
771	31634	9342
772	31676	9302
773	31718	9261
774	31759	9220
775	31802	9179
776	31845	9139
777	31880	9097
778	31915	9054
779	31955	9013
780	31994	8971
781	32036	8930
782	32075	8889
783	32112	8847
784	32149	8805
785	32191	8764
786	32232	8723
787	32271	8682
788	32311	8640
789	32347	8598
790	32388	8557
791	32430	8517
792	32472	8476
793	32511	8434
794	32555	8394
795	32595	8353
796	32633	8311
797	32674	8271
798	32716	8230
799	32755	8188
800	32789	8146
801	32831	8105
802	32870	8064
803	32902	8020
804	32935	7978
805	32981	7938
806	33018	7896
807	33060	7855
808	33105	7816
809	33148	7775
810	33188	7734
811	33231	7693
812	33278	7654
813	33317	7613
814	33359	7572
815	33403	7532
816	33447	7492
817	33489	7451
818	33531	7410
819	33572	7369
820	33611	7328
821	33649	7286
822	33691	7245
823	33735	7205
824	33778	7165
825	33819	7124
826	33862	7083
827	33897	7041
828	33933	6999
829	33971	6958
830	34013	6917
831	34053	6876
832	34094	6835
833	34135	6794
834	34175	6753
835	34213	6711
836	34258	6671
837	34304	6631
838	34342	6590
839	34381	6548
840	34422	6507
841	34457	6465
842	34499	6425
843	34542	6384
844	34584	6343
845	34629	6303
846	34669	6262
847	34710	6221
848	34749	6180
849	34786	6138
850	34828	6098
851	34870	6057
852	34907	6015
853	34947	5974
854	34987	5933
855	35030	5892
856	35070	5851
857	35112	5811
858	35149	5769
859	35195	5729
860	35231	5687
861	35275	5647
862	35313	5606
863	35351	5564
864	35389	5523
865	35430	5482
866	35474	5441
867	35510	5400
868	35549	5359
869	35587	5317
870	35627	5276
871	35669	5235
872	35709	5194
873	35753	5154
874	35794	5113
875	35838	5073
876	35876	5031
877	35911	4989
878	35949	4948
879	35985	4907
880	36031	4866
881	36072	4826
882	36109	4784
883	36149	4743
884	36192	4702
885	36232	4661
886	36275	4621
887	36319	4580
888	36361	4540
889	36408	4499
890	36446	4458
891	36502	4419
892	36536	4377
893	36580	4337
894	36622	4296
895	36663	4255
896	36705	4214
897	36745	4173
898	36786	4132
899	36825	4091
900	36869	4051
901	36907	4009
902	36947	3968
903	36983	3927
904	37020	3886
905	37063	3845
906	37105	3804
907	37147	3763
908	37185	3722
909	37233	3682
910	37272	3641
911	37315	3600
912	37360	3560
913	37400	3519
914	37443	3478
915	37482	3437
916	37519	3395
917	37564	3355
918	37603	3314
919	37638	3272
920	37676	3231
921	37723	3191
922	37760	3150
923	37796	3108
924	37837	3067
925	37876	3026
926	37921	2986
927	37961	2945
928	38000	2904
929	38044	2863
930	38087	2822
931	38128	2781
932	38171	2741
933	38213	2700
934	38256	2659
935	38290	2618
936	38317	2576
937	38357	2535
938	38396	2494
939	38438	2453
940	38482	2412
941	38520	2371
942	38563	2331
943	38602	2289
944	38640	2248
945	38685	2208
946	38729	2167
947	38766	2126
948	38800	2085
949	38840	2044
950	38877	2003
951	38919	1962
952	38964	1921
953	39002	1880
954	39045	1839
955	39085	1798
956	39120	1757
957	39149	1716
958	39192	1675
959	39237	1634
960	39275	1593
961	39316	1553
962	39360	1512
963	39400	1471
964	39441	1430
965	39486	1389
966	39530	1349
967	39570	1308
968	39610	1267
969	39654	1226
970	39698	1185
971	39740	1144
972	39782	1103
973	39825	1063
974	39865	1022
975	39905	981
976	39942	940
977	39984	899
978	40025	858
979	40069	817
980	40114	776
981	40158	736
982	40198	695
983	40240	654
984	40283	613
985	40324	572
986	40363	531
987	40404	490
988	40447	449
989	40488	408
990	40531	368
991	40572	327
992	40613	286
993	40653	245
994	40693	204
995	40728	163
996	40772	122
997	40811	81
998	40852	40
999	40888	0
