ID,TARGET
0,46
1,9
2,4
3,39
4,36
5,26
6,16
7,36
8,54
9,60
10,28
11,56
12,31
13,11
14,1
15,49
16,16
17,29
18,54
19,49
20,36
21,39
22,9
23,12
24,44
25,59
26,1
27,35
28,14
29,41
30,47
31,55
32,3
33,33
34,3
35,9
36,53
37,46
38,50
39,19
40,40
41,26
42,27
43,7
44,62
45,5
46,36
47,8
48,14
49,62
50,62
51,63
52,21
53,4
54,26
55,38
56,31
57,14
58,0
59,22
60,57
61,27
62,0
63,37
64,10
65,4
66,30
67,61
68,7
69,15
70,51
71,10
72,33
73,59
74,22
75,16
76,31
77,62
78,9
79,3
80,20
81,56
82,25
83,62
84,37
85,7
86,48
87,42
88,63
89,56
90,18
91,27
92,54
93,7
94,6
95,55
96,31
97,57
98,9
99,58
100,56
101,51
102,53
103,62
104,59
105,28
106,27
107,36
108,27
109,45
110,15
111,7
112,54
113,21
114,41
115,54
116,18
117,39
118,50
119,39
120,18
121,59
122,43
123,25
124,39
125,1
126,30
127,63
128,10
129,1
130,53
131,54
132,10
133,33
134,17
135,25
136,50
137,6
138,26
139,28
140,42
141,27
142,24
143,16
144,37
145,22
146,14
147,0
148,37
149,7
150,12
151,4
152,27
153,48
154,17
155,19
156,57
157,43
158,4
159,21
160,54
161,53
162,40
163,1
164,42
165,47
166,33
167,54
168,50
169,2
170,28
171,33
172,57
173,47
174,31
175,59
176,46
177,24
178,63
179,56
180,12
181,59
182,53
183,60
184,16
185,42
186,50
187,32
188,21
189,46
190,26
191,33
192,19
193,61
194,46
195,4
196,25
197,52
198,22
199,8
200,48
201,12
202,61
203,63
204,39
205,4
206,47
207,26
208,45
209,26
210,42
211,19
212,54
213,24
214,3
215,61
216,34
217,2
218,32
219,15
220,34
221,27
222,36
223,52
224,26
225,17
226,14
227,57
228,35
229,7
230,61
231,27
232,58
233,21
234,52
235,37
236,55
237,22
238,3
239,45
240,0
241,20
242,38
243,15
244,60
245,39
246,4
247,63
248,43
249,56
250,10
251,6
252,1
253,58
254,63
255,0
256,56
257,29
258,43
259,52
260,15
261,10
262,23
263,37
264,55
265,32
266,57
267,41
268,52
269,48
270,19
271,55
272,47
273,6
274,11
275,54
276,5
277,48
278,35
279,41
280,60
281,36
282,52
283,46
284,8
285,18
286,14
287,38
288,57
289,46
290,41
291,52
292,3
293,4
294,54
295,6
296,60
297,47
298,35
299,56
300,47
301,27
302,63
303,17
304,26
305,7
306,42
307,22
308,7
309,28
310,52
311,45
312,47
313,24
314,0
315,17
316,61
317,19
318,55
319,59
320,32
321,52
322,62
323,4
324,17
325,31
326,38
327,17
328,23
329,61
330,31
331,63
332,40
333,20
334,47
335,59
336,29
337,52
338,45
339,43
340,46
341,21
342,27
343,59
344,30
345,2
346,54
347,49
348,42
349,44
350,45
351,0
352,17
353,33
354,43
355,49
356,30
357,45
358,46
359,10
360,9
